busId,busName,lng,lat
1911,세종문화회관,126.97673115,37.572109336
1912,종각역,126.98291409,37.569378328
1913,인사동.탑골공원,126.98879795,37.570144623
1914,종묘.세운상가,126.99419367,37.570391601
1915,광장시장,126.99966193,37.570758886
1916,동묘.숭인동도깨비시장,127.01799312,37.573572777
1917,서울풍물시장,127.0232491,37.573342037
1918,청와대,126.9737047,37.582683877
2001,남대문세무서.서울백병원,126.98745799,37.564982705
2002,서울백병원.국가인권위.안중근활동터,126.98785143,37.564350451
2003,서울역버스환승센터,126.97259102,37.55503906
2004,서울역버스환승센터,126.97255221,37.555477639
2005,서울역버스환승센터,126.97256029,37.555376237
2006,서울역버스환승센터,126.97277266,37.555475263
2007,서울역버스환승센터.강우규의거터,126.97277266,37.555466403
2008,숭례문,126.97378827,37.558633318
2099,숭례문(가상),126.97448902,37.559762941
2100,서울시청,126.98063298,37.566064063
2101,만리동고개,126.96252609,37.551702871
2102,손기정체육공원입구,126.96626843,37.554389984
2103,서울의료보건고등학교.서울역서부,126.96906773,37.556179722
2104,서울역서부,126.96919521,37.55631975
2105,서울역서부,126.96918591,37.556964362
2106,중림동교차로,126.96921023,37.558387339
2107,종근당.충정로역,126.96438997,37.559610208
2108,한국경제신문사.서소문역사공원,126.96783616,37.560460671
2109,한국경제신문사.서소문역사공원,126.96798225,37.560583492
2110,경찰청.동북아역사재단,126.96900602,37.562993137
2111,써미트호텔,127.00662727,37.562441115
2113,서대문경찰서.농협은행.유관순활동터,126.96765627,37.564847876
2116,염천교,126.97336385,37.559837462
2117,숭례문,126.9732328,37.558010952
2118,숭례문.한국일보,126.97385347,37.558706456
2120,후암삼거리,126.97607297,37.553329127
2121,숭례문,126.97422352,37.55884151
2122,숭례문,126.97400612,37.558597462
2123,숭례문,126.97352396,37.558058134
2124,남대문시장악세사리전문상가,126.97599918,37.558573168
2125,숭례문남산방향,126.97580301,37.558590669
2126,남대문시장,126.98001963,37.561328944
2127,북창동.남대문시장,126.97793348,37.561081286
2128,시청앞,126.97648724,37.56260691
2131,삼성본관앞,126.9760491,37.562017678
2132,시청앞,126.97631913,37.562723356
2133,서소문,126.97482786,37.563305458
2134,서소문,126.97535809,37.563645142
2135,시청.서소문청사,126.97497141,37.563496246
2137,서울신문사,126.97727049,37.568363677
2139,우리은행종로지점,126.98279715,37.567522261
2140,롯데백화점,126.98217934,37.564471244
2141,해운센터.롯데영프라자,126.98166454,37.562858715
2142,롯데영프라자,126.98192177,37.563008133
2144,신세계앞,126.981632,37.560919
2145,남대문시장.회현역,126.9800425,37.55949853
2146,남대문시장.회현역,126.97834746,37.558558653
2147,남산3호터널,126.98280037,37.558486557
2148,남산3호터널.서울애니메이션센터,126.98256616,37.559507201
2149,명동입구,126.98522581,37.56076734
2150,퇴계로2가.명동역,126.98449953,37.560832459
2151,퇴계로3가.한옥마을.한국의집,126.99173098,37.561133476
2152,퇴계로3가.한옥마을.한국의집,126.99249051,37.560989993
2153,충무로역2번출구.대한극장앞,126.99488304,37.561319682
2154,충무로역8번출구.대한극장앞,126.99657516,37.561872493
2155,초동,126.99302252,37.563337969
2156,을지로입구.로얄호텔,126.98537534,37.565987019
2157,을지로입구.시청입구,126.98117205,37.566068134
2158,을지로2가.기업은행본점.서울노동청,126.98652707,37.566175019
2159,을지로2가.파인에비뉴,126.98882222,37.566121604
2160,을지로3가,126.99037945,37.566313373
2161,을지로3가,126.99131753,37.566233633
2162,을지로4가,126.99622186,37.566603847
2163,을지로4가.베스트웨스턴국도,126.9968403,37.566497139
2164,중구청앞.덕수중학교,126.99822849,37.564779114
2165,을지로5가,126.9992631,37.566755096
2166,을지로5가.중부시장,127.00110698,37.566723921
